ID,Paper,Venue/Year,Why include,Tools
1,"Fernandes et al., “DevOps Education: An Interview Study of Challenges and Recommendations”",ICSE-SEET 2022,DevOps education challenges/recommendations,
2,"Alves and Rocha, “Qualifying Software Engineers Undergraduates in DevOps”",ICSE-SEET 2021,Project-oriented DevOps course,Jenkins、GitLab CI、CircleCI、Travis CI
3,"Pang, Hindle, and Barbosa, “Understanding DevOps Education with Grounded Theory”",ICSE-SEET 2020,DevOps education barriers,Jenkins、GitLab、Maven、Katalon、Vagrant、Ansible
4,"Bobrov et al., “Teaching DevOps in Academia and Industry: Reflections and Vision”",DEVOPS 2019,DevOps teaching experience,Jenkins、GitLab、Maven、Vagrant、Ansible、Katalon
5,"Azad and Hyrynsalmi, “DevOps Critical Success Factors—A Systematic Literature Review”",IST 2023,DevOps,
6,"Hilton et al., “Usage, Costs, and Benefits of Continuous Integration in Open-Source Projects”",ASE 2016,CI empirical study,Travis CI、CircleCI、AppVeyor、Wercker
7,"Hilton et al., “Trade-offs in continuous integration: assurance, security, and flexibility”",ESEC/FSE 2017,CI adoption trade-offs,Jenkins、Travis CI、Docker、Lint
8,"Beller, Gousios, and Zaidman, “Oops, My Tests Broke the Build: An Explorative Analysis of Travis CI with GitHub”",MSR 2017,Travis CI build/test analysis,Travis CI、GitHub
9,"Durieux et al., “An Analysis of 35+ Million Jobs of Travis CI”",ICSME 2019,Large-scale CI usage,Travis CI、GitHub
10,"Vassallo et al., “A Tale of CI Build Failures: an Open Source and a Financial Organization Perspective”",ICSME 2017,CI failure analysis,Jenkins、Travis CI、Maven
11,"Gallaba and McIntosh, “Use and Misuse of Continuous Integration Features: An Empirical Study of Projects That (Mis)Use Travis CI”",TSE 2018,CI configuration practices,Travis CI、Hansel、Gretel
12,"Zampetti et al., “How Open Source Projects Use Static Code Analysis Tools in CI Pipelines”",MSR 2017,Static analysis in CI,Travis CI、Checkstyle、FindBugs、PMD
13,"Laukkanen, Itkonen, and Lassenius, “Problems, causes and solutions when adopting continuous delivery—A systematic literature review”",IST 2017,CD adoption SLR,
14,"Rodríguez et al., “Continuous deployment of software intensive products and services: A systematic mapping study”",JSS 2017,Continuous deployment mapping,
15,"Fitzgerald and Stol, “Continuous Software Engineering: A Roadmap and Agenda”",JSS 2017,Broader continuous software engineering,
16,"Jabbari et al., “What is DevOps? A Systematic Mapping Study on Definitions and Practices”",XP 2016,DevOps definition/practice mapping,
17,"Lwakatare et al., “DevOps in practice: A multiple case study of five companies”",IST 2019,DevOps adoption in companies,Jenkins、GitHub、Bitbucket、Deveo、Selenium、Ansible、SonarQube、Docker、AWS CloudFormation、Chef、Puppet、New Relic、Graylog
18,"Chen, “Continuous Delivery: Overcoming Adoption Challenges”",JSS 2017,CD challenges and adoption guidance,
19,"Soares et al., “The Effects of Continuous Integration on Software Development: A Systematic Literature Review”",ESE 2022,Effects of CI on software development,
20,"Klotins et al., “Towards Cost-Benefit Evaluation for Continuous Software Engineering Activities”",ESE 2022,CI practices in software engineering,
